Material,SMILES,Type,PL
BODIPY25,F[B-]([N+]1=C(C)C(C2=CC=C(C)C=C2)=C(C)C1=C3C)(F)N4C3=C(C)C(C5=CC=C(C)C=C5)=C4C,BODIPY,526.0
BODIPY26,F[B-]([N+]1=C(C)C(C2=C(C)C=C(C)C=C2C)=C(C)C1=C3C4=CC=CC=C4)(F)N5C3=C(C)C(C6=C(C)C=C(C)C=C6C)=C5C,BODIPY,534.0
BODIPY27,F[B-]([N+]1=C(C)C(C2=CC=C(OC)C=C2)=C(C)C1=C3C)(F)N4C3=C(C)C(C5=CC=C(OC)C=C5)=C4C,BODIPY,551.0
BODIPY28,F[B-]([N+]1=C(C2=CC=CC=C2)C=C(C3=CC=C(C(C)(C)C)C=C3)C1=C4C)(F)N5C4=C(C6=CC=C(C(C)(C)C)C=C6)C=C5C7=CC=CC=C7,BODIPY,607.0
BODIPY29,F[B-]([N+]1=C(C2=CC=C(C(C)(C)C)C=C2)C=C(C3=CC=CC=C3)C1=C4C5=C(OC)C=CC=C5)(F)N6C4=C(C7=CC=CC=C7)C=C6C8=CC=C(C(C)(C)C)C=C8,BODIPY,615.0
BODIPY30,F[B-]([N+]1=C(C2=CC=C(C(C)(C)C)C=C2)C=C(C3=CC(C=CC=C4)=C4C=C3)C1=C5C6=C(OC)C=CC=C6)(F)N7C5=C(C8=CC=C(C=CC=C9)C9=C8)C=C7C%10=CC=C(C(C)(C)C)C=C%10,BODIPY,624.0
BODIPY31,F[B-]([N+]1=C(C)C(CC)=C(C)C1=C2C3=CC=C(C#CC(C=C4)=CC=C4N(C5=CC=CC=C5)C6=CC=CC=C6)C=C3)(F)N7C2=C(C)C(CC)=C7C,BODIPY,552.0
BODIPY32,F[B-]([N+]1=C(C)C(CC)=C(C)C1=C2C3=CC=C(C#CC(C=C4)=CC=C4N5C6=CC=CC=C6C7=C5C=CC=C7)C=C3)(F)N8C2=C(C)C(CC)=C8C,BODIPY,551.0
BODIPY33,F[B-]([N+]1=C(C)C(C2=CC=C(N(C3=CC=CC=C3)C4=CC=CC=C4)C=C2)=C(C)C1=C5C6=CC=CC=C6)(F)N7C5=C(C)C(C8=CC=C(N(C9=CC=CC=C9)C%10=CC=CC=C%10)C=C8)=C7C,BODIPY,630.0
BODIPY34,F[B-]([N+]1=C(C)C(C2=CC=C(N(C3=CC=CC=C3)C4=CC=CC=C4)C=C2)=C(C)C1=C5C6=CC=C(C(F)(F)F)C=C6)(F)N7C5=C(C)C(C8=CC=C(N(C9=CC=CC=C9)C%10=CC=CC=C%10)C=C8)=C7C,BODIPY,651.0
